Case Number,Location,Total Number Occupants,Total Number Units,Licence Commenced,Licence Expires
15/02404/HMOADS,Flat 2 Alica House 2A Randolph Street Oxford Oxfordshire OX4 1XY,3,,13-Feb-17,13-Feb-18
16/02807/HMOADL,7 Norton Close Oxford Oxfordshire OX3 7BQ,4,,13-Feb-17,13-Feb-18
16/05591/HMOLIC,17 Rectory Road Oxford Oxfordshire OX4 1BU,5,,14-Jan-17,13-Feb-18
16/04819/HMOADS,448 Marston Road Oxford Oxfordshire OX3 0JE,5,,14-Feb-17,13-Feb-18
16/04455/HMOADS,138 Fern Hill Road Oxford Oxfordshire OX4 2JP,4,4,15-Oct-16,14-Feb-18
16/06048/HMOADS,91 Marlborough Road Oxford Oxfordshire OX1 4LX,4,,15-Feb-17,14-Feb-18
16/05000/HMOADL,2 Hunter Close Oxford Oxfordshire OX4 2PX,5,,15-Feb-17,14-Feb-18
15/04605/HMOLIC,14 Peel Place Oxford Oxfordshire OX1 4UT,6,11,16-Feb-17,15-Feb-18
16/04458/HMOADL,6 Shelley Road Oxford Oxfordshire OX4 3EA,5,,15-Oct-16,15-Feb-18
15/04678/HMOLIC,9 Pembroke Street Oxford Oxfordshire OX1 1BP,13,13,16-Feb-17,15-Feb-18
16/04283/HMOLIC,34 Northfield Road Oxford Oxfordshire OX3 9EW,5,,16-Feb-17,15-Feb-18
16/03986/HMOADS,70 James Street Oxford Oxfordshire OX4 1EX,4,4,16-Feb-17,15-Feb-18
17/00190/HMOADS,470 Cowley Road Oxford Oxfordshire OX4 2DP,4,4,15-Feb-17,15-Feb-18
16/05775/HMOADL,17 Divinity Road Oxford Oxfordshire OX4 1LH,7,,16-Dec-16,15-Feb-18
16/06060/HMOADS,39A New High Street Oxford Oxfordshire OX3 7AL,3,,17-Feb-17,16-Feb-18
16/06113/HMOADL,48 Palmer Road Oxford Oxfordshire OX3 8QE,8,7,17-Feb-17,16-Feb-18
16/05049/HMOADS,8 Dudgeon Drive Oxford Oxfordshire OX4 4QL,4,,17-Feb-17,16-Feb-18
16/06172/HMOADL,65A St Mary's Road Oxford Oxfordshire OX4 1PN,5,,17-Feb-17,16-Feb-18
16/02615/HMOADL,88 Percy Street Oxford Oxfordshire OX4 3AD,5,,17-Feb-17,16-Feb-18
16/06031/HMOADL,12 Great Mead Oxford Oxfordshire OX1 2RB,4,,17-Feb-17,16-Feb-18
15/05820/HMOADS,158 Howard Street Oxford Oxfordshire OX4 3BG,4,4,16-Feb-16,16-Feb-18
16/04368/HMOLIC,15 Foxglove Close Oxford Oxfordshire OX4 7ZB,6,,17-Feb-17,16-Feb-18
16/00478/HMOLIC,15 Newton Road Oxford Oxfordshire OX1 4PT,6,6,17-Feb-17,16-Feb-18
14/01441/HMOADS,26 John Snow Place Oxford Headington Oxfordshire OX3 8BB,4,3,17-Feb-17,16-Feb-18
17/00016/HMOADS,6 Stainer Place Oxford Oxfordshire OX3 0LE,4,,18-Feb-17,17-Feb-18
16/06133/HMOADL,43 Hawthorn Avenue Oxford Headington Oxfordshire OX3 9JQ,3,3,18-Feb-17,17-Feb-18
16/06134/HMOADL,14 Rickyard Close Oxford Oxfordshire OX1 2RE,4,4,18-Feb-17,17-Feb-18
16/06041/HMOADL,62 Reliance Way Oxford Oxfordshire OX4 2FG,4,4,17-Feb-17,17-Feb-18
16/03452/HMOADL,39 Raymund Road Oxford Oxfordshire OX3 0SP,5,5,18-Aug-16,17-Feb-18
15/05824/HMOADL,19 Cross Street Oxford Oxfordshire OX4 1BZ,3,3,17-Feb-16,17-Feb-18
16/04912/HMOADL,19 Valentia Road Oxford Headington Oxfordshire OX3 7PN,5,,19-Nov-16,18-Feb-18
17/00004/HMOADL,1 Stockmore Street Oxford Oxfordshire OX4 1JT,8,8,19-Feb-17,18-Feb-18
16/06175/HMOADS,19 Bartlemas Road Oxford Oxfordshire OX4 1XU,5,,19-Feb-17,18-Feb-18
16/06081/HMOADL,90 Rewley Road Oxford Oxfordshire OX1 2RQ,4,4,18-Feb-17,18-Feb-18
16/04877/HMOLIC,308 Cowley Road Oxford Oxfordshire OX4 2AF,6,6,19-Nov-16,18-Feb-18
16/02355/HMOADS,13 Wharf House Juxon Street Oxford Oxfordshire OX2 6DU,3,,20-Feb-17,19-Feb-18
16/04874/HMOLIC,63 Vicarage Road Oxford Oxfordshire OX1 4RE,7,7,19-Nov-16,19-Feb-18
16/04861/HMOADS,136A Oxford Road Cowley Oxford Oxfordshire OX4 2DU,3,3,19-Nov-16,19-Feb-18
16/01943/HMOADS,4 Wharf House Juxon Street Oxford Oxfordshire OX2 6DU,3,,20-Feb-17,19-Feb-18
16/06203/HMOADL,66 St Mary's Road Oxford Oxfordshire OX4 1QA,6,,20-Feb-17,19-Feb-18
16/04373/HMOADL,43 Lamarsh Road Oxford Oxfordshire OX2 0LD,5,,20-Feb-17,19-Feb-18
16/00107/HMOADL,15 Hobson Road Oxford Oxfordshire OX2 7JX,4,4,19-Feb-16,19-Feb-18
16/06179/HMOADL,17 Binsey Lane Oxford OX2 0EX,4,,20-Feb-17,19-Feb-18
16/05767/HMOADL,6 Harcourt Terrace Oxford Oxfordshire OX3 7QF,5,,20-Feb-17,19-Feb-18
16/03967/HMOADS,Flat 1 191-193 Iffley Road Oxford Oxfordshire OX4 1EN,3,,19-Sep-16,19-Feb-18
16/00106/HMOADL,38 Stockmore Street Oxford OX4 1JT,5,5,19-Feb-16,19-Feb-18
16/06138/HMOADL,3 Warneford Road Oxford Oxfordshire OX4 1LT,5,5,19-Feb-17,19-Feb-18
16/04372/HMOADL,41 Lamarsh Road Oxford Oxfordshire OX2 0LD,5,5,20-Feb-17,19-Feb-18
