Case Number,Location,Total Number Occupants,Total Number Units,Licence Commenced,Licence Expires
17/01595/HMOADL,68 Ridgefield Road Oxford Oxfordshire OX4 3DA,5,,25-Jun-17,24-Jun-19
17/01462/HMOLIC,16 Horwood Close Oxford Oxfordshire OX3 7RF,6,6,23-Jun-17,24-Jun-19
17/01401/HMOADL,55 Nowell Road Oxford Oxfordshire OX4 4TB,4,4,27-Jun-17,26-Jun-19
17/01466/HMOADS,Flat F 217 Cowley Road Oxford Oxfordshire OX4 1XG,3,,27-Jun-17,26-Jun-19
17/01463/HMOADS,Flat E 217 Cowley Road Oxford Oxfordshire OX4 1XG,3,,27-Jun-17,26-Jun-19
17/01314/HMOADS,16 Marsh Lane Oxford Headington Oxfordshire OX3 0NF,4,3,28-Jun-17,27-Jun-19
17/01508/HMOADL,5 Hurst Street Oxford Oxfordshire OX4 1EZ,4,4,28-Jun-17,27-Jun-19
17/01808/HMOLIC,75 Long Lane Oxford Oxfordshire OX4 3TN,6,6,01-Jul-17,30-Jun-19
17/01735/HMOADL,76 Wilkins Road Oxford Oxfordshire OX4 2JB,5,,01-Jul-17,30-Jun-19
17/01669/HMOADS,11 Mark Road Oxford Oxfordshire OX3 8PB,4,4,02-Jul-17,01-Jul-19
17/01749/HMOADS,21 Hayfield Road Oxford Oxfordshire OX2 6TX,4,,02-Jul-17,01-Jul-19
17/01650/HMOADL,35 Girdlestone Road Oxford Oxfordshire OX3 7NA,6,,02-Jul-17,01-Jul-19
17/01914/HMOLIC,Rostar 396 Woodstock Road Oxford Oxfordshire OX2 8JW,17,17,02-Jul-17,01-Jul-19
17/01665/HMOADS,369 Iffley Road Oxford Oxfordshire OX4 4DP,4,4,02-Jul-17,01-Jul-19
17/01737/HMOADS,75 Wood Farm Road Oxford Oxfordshire OX3 8PS,4,,02-Jul-17,01-Jul-19
17/01751/HMOADL,20 Hendred Street Oxford Oxfordshire OX4 2ED,5,,02-Jul-17,01-Jul-19
17/01673/HMOADS,62 Morrell Avenue Oxford Oxfordshire OX4 1ND,4,,03-Jul-17,02-Jul-19
17/01667/HMOADL,57 Mayfair Road Oxford Oxfordshire OX4 3SR,4,4,03-Jul-17,04-Jul-19
17/01559/HMOADS,116 Morrell Avenue Oxford Oxfordshire OX4 1NA,4,4,05-Jul-17,04-Jul-19
17/01931/HMOADL,8 Bankside Oxford Oxfordshire,4,4,08-Jul-17,07-Jul-19
17/01838/HMOADL,132 Howard Street Oxford Oxfordshire OX4 3BG,5,,08-Jul-17,07-Jul-19
17/01957/HMOADL,Middle Flat 247B Cowley Road Oxford Oxfordshire OX4 1XG,6,4,09-Jul-17,08-Jul-19
17/01807/HMOLIC,62 Lake Street Oxford Oxfordshire OX1 4RR,6,6,11-Jul-17,10-Jul-19
17/01320/HMOLIC,2 Stratford Street Oxford Oxfordshire OX4 1SW,6,6,11-Jul-17,10-Jul-19
17/01762/HMOLIC,4 Alma Place Oxford Oxfordshire OX4 1JW,5,5,11-Jul-17,10-Jul-19
17/01940/HMOADS,6 Leopold Street Oxford OX4 1PS,4,4,12-Jul-17,11-Jul-19
17/01923/HMOADS,382 Cowley Road Oxford Oxfordshire OX4 2BY,4,4,12-Jul-17,11-Jul-19
17/01878/HMOADL,14 Dodgson Road Oxford OX4 3QS,5,,12-Jul-17,11-Jul-19
17/01769/HMOADS,59 Hertford Street Oxford Oxfordshire OX4 3AL,5,,12-Jul-17,11-Jul-19
17/01813/HMOADL,23 Southfield Road Oxford Oxfordshire OX4 1NX,5,,12-Jul-17,11-Jul-19
17/01901/HMOADL,1 Northampton Road Oxford Oxfordshire OX1 4TG,5,5,13-Jul-17,12-Jul-19
17/01816/HMOADS,1 Burbush Road Oxford Oxfordshire OX4 2JS,6,,13-Jul-17,12-Jul-19
17/01817/HMOADL,54 Southfield Road Oxford Oxfordshire OX4 1NZ,5,5,14-Jul-17,13-Jul-19
17/02264/HMOADS,9A Cricket Road Oxford Oxfordshire OX4 3DG,5,,15-Jul-17,15-Jul-19
17/01776/HMOADL,6 Oliver Road Oxford Oxfordshire OX4 2JE,5,,16-Jul-17,15-Jul-19
17/02033/HMOLIC,66 Glebelands Oxford Oxfordshire OX3 7EN,5,5,16-Jul-17,15-Jul-19
17/01910/HMOADS,First And Second Floor Maisonette 198 Banbury Road Oxford Oxfordshire OX2 7BY,4,,19-Jul-17,18-Jul-19
17/02038/HMOADS,7 Dodgson Road Oxford Oxfordshire OX4 3QS,4,,19-Jul-17,18-Jul-19
16/03780/HMOADL,8 Crown Street Oxford OX4 1QG,6,4,19-Jul-17,18-Jul-19
17/01927/HMOADL,1 Glanville Road Oxford Oxfordshire OX4 2DB,6,6,20-Jul-17,19-Jul-19
17/02119/HMOLIC,1 Old Road Headington Oxford Oxfordshire OX3 7JY,5,5,20-Jul-17,19-Jul-19
17/02008/HMOLIC,7 Hendred Street Oxford Oxfordshire OX4 2EE,5,5,21-Jul-17,20-Jul-19
17/02064/HMOLIC,10 Stockmore Street Oxford Oxfordshire OX4 1JT,5,5,19-Jul-17,20-Jul-19
17/02037/HMOADL,14 Tawney Street Oxford Oxfordshire OX4 1NJ,4,,23-Jul-17,22-Jul-19
17/02012/HMOADS,8 Rectory Road Oxford Oxfordshire OX4 1BW,4,4,23-Jul-17,22-Jul-19
17/02107/HMOADL,82 Magdalen Road Oxford Oxfordshire OX4 1RE,5,,24-Jul-17,23-Jul-19
17/04312/HMOLIC,52 Hurst Street Oxford Oxfordshire OX4 1HD,5,5,25-Jul-17,24-Jul-19
17/02126/HMOADS,50 Oatlands Road Oxford Oxfordshire OX2 0ET,4,,25-Jul-17,24-Jul-19
17/02042/HMOADS,142 Dene Road Oxford Oxfordshire OX3 7JA,4,,25-Jul-17,24-Jul-19
17/02342/HMOADS,9 Princes Street Oxford Oxfordshire OX4 1DD,4,4,24-Jul-17,25-Jul-19
17/02045/HMOADS,15 Kenilworth Avenue Oxford Oxfordshire OX4 2AW,4,,26-Jul-17,25-Jul-19
17/02085/HMOADS,27 St Mary's Road Oxford Oxfordshire OX4 1PY,4,,27-Jul-17,26-Jul-19
16/01743/HMOADS,18 Kenilworth Avenue Oxford Oxfordshire OX4 2AN,4,,27-Jul-17,26-Jul-19
17/02421/HMOADS,86 Magdalen Road Oxford Oxfordshire OX4 1RE,4,,28-Jul-17,27-Jul-19
17/02160/HMOLIC,4 Glebe Street Oxford Oxfordshire OX4 1DQ,6,5,29-Jul-17,28-Jul-19
17/02183/HMOADS,43 Hurst Street Oxford Oxfordshire OX4 1HA,4,3,27-Jul-17,28-Jul-19
17/02175/HMOADL,17 Dynham Place Oxford Oxfordshire OX3 7NL,5,5,30-Jul-17,29-Jul-19
17/02176/HMOADS,2 Wilberforce Street Oxford Oxfordshire OX3 7AN,4,,31-Jul-17,30-Jul-19
17/02664/HMOADS,Flat 1 Jean Marguerite Court 6 Brook Street Oxford Oxfordshire OX1 4JT,3,3,02-Aug-17,01-Aug-19
17/02252/HMOADL,76 Valentia Road Oxford Oxfordshire OX3 7PW,6,6,02-Aug-17,01-Aug-19
17/02219/HMOLIC,51 Bullingdon Road Oxford Oxfordshire OX4 1QJ,6,7,02-Aug-17,01-Aug-19
18/00024/HMOLIC,28 Bartlemas Road Oxford Oxfordshire OX4 1XX,5,5,01-Aug-17,02-Aug-19
17/02222/HMOADS,15 Cosin Close Oxford Oxfordshire OX4 1GD,4,4,03-Aug-17,02-Aug-19
17/02253/HMOADL,49 Hurst Street Oxford Oxfordshire OX4 1HA,5,,04-Aug-17,03-Aug-19
17/02232/HMOLIC,10 Donnington Bridge Road Oxford OX4 4AX,5,,04-Aug-17,03-Aug-19
17/02933/HMOADL,250 Abingdon Road Oxford Oxfordshire OX1 4SP,7,,05-Aug-17,04-Aug-19
17/02237/HMOADL,36 Derwent Avenue Oxford Oxfordshire OX3 0AP,5,,05-Aug-17,04-Aug-19
17/02228/HMOLIC,177A Cowley Road Oxford Oxfordshire OX4 1UT,6,6,05-Aug-17,04-Aug-19
17/02231/HMOADS,4 Crescent Close Oxford Oxfordshire OX4 2NU,4,4,06-Aug-17,05-Aug-19
17/02865/HMOLIC,141 Windmill Road Oxford Oxfordshire OX3 7DN,6,6,07-Aug-17,06-Aug-19
17/02258/HMOADS,87 Magdalen Road Oxford OX4 1RE,4,4,07-Aug-17,06-Aug-19
16/03447/HMOADS,243 Marston Road Marston Oxford OX3 0EN,5,4,29-Sep-16,06-Aug-19
17/02455/HMOLIC,13 Regent Street Oxford Oxfordshire OX4 1QU,6,6,07-Aug-17,08-Aug-19
17/02459/HMOADL,58 Hurst Street Oxford Oxfordshire OX4 1HD,4,4,09-Aug-17,10-Aug-19
17/02862/HMOADL,170 Headley Way Oxford Oxfordshire OX3 7SZ,5,5,11-Aug-17,10-Aug-19
17/02284/HMOADS,3 Chapel Street Oxford Oxfordshire OX4 1XL,3,,11-Aug-17,10-Aug-19
17/02270/HMOADL,31 Howard Street Oxford Oxfordshire OX4 3AY,5,5,11-Aug-17,10-Aug-19
17/02515/HMOADS,119 Hurst Street Oxford Oxfordshire OX4 1HE,4,,10-Aug-17,11-Aug-19
17/02262/HMOADS,2 Windsor Street Oxford Oxfordshire OX3 7AP,3,,12-Aug-17,11-Aug-19
17/02383/HMOADS,11 Randolph Street Oxford OX4 1XY,4,4,13-Aug-17,12-Aug-19
17/02555/HMOADL,1A Warneford Road Oxford Oxfordshire OX4 1LT,4,,12-Aug-17,13-Aug-19
17/03105/HMOADS,350 Cowley Road Oxford Oxfordshire OX4 2AG,4,5,14-Aug-17,13-Aug-19
17/02378/HMOADS,32 Henley Street Oxford Oxfordshire OX4 1ES,4,,14-Aug-17,13-Aug-19
17/02295/HMOADL,25 Clive Road Oxford Oxfordshire OX4 3EL,5,,14-Aug-17,13-Aug-19
17/02558/HMOADS,14 Abbots Wood (east) Oxford Oxfordshire OX3 8TR,4,4,16-Aug-17,15-Aug-19
17/02584/HMOADL,21 Dene Road Oxford Oxfordshire OX3 7EF,5,5,19-Aug-17,18-Aug-19
17/02770/HMOLIC,52 Bullingdon Road Oxford Oxfordshire OX4 1QJ,6,6,20-Aug-17,19-Aug-19
17/02554/HMOADS,47 Oatlands Road Oxford Oxfordshire OX2 0EU,4,4,23-Aug-17,22-Aug-19
17/02604/HMOADS,8 Marsh Lane Oxford Headington Oxfordshire OX3 0NF,3,,23-Aug-17,22-Aug-19
17/02512/HMOADL,11 Warwick Street Oxford Oxfordshire OX4 1SZ,5,,23-Aug-17,22-Aug-19
17/02514/HMOADS,38 Windmill Road Oxford Oxfordshire OX3 7BX,4,,24-Aug-17,23-Aug-19
17/02885/HMOLIC,9 Argyle Street Oxford Oxfordshire OX4 1ST,6,6,23-Aug-17,23-Aug-19
17/02441/HMOADL,13 Marlborough Court Duke Street Oxford Oxfordshire OX2 0QT,4,,25-Aug-17,24-Aug-19
17/02921/HMOADS,27 Harcourt Terrace Oxford Headington Oxfordshire OX3 7QF,7,,25-Aug-17,24-Aug-19
17/02625/HMOADL,149 Magdalen Road Oxford Oxfordshire OX4 1RL,5,5,23-Aug-17,24-Aug-19
17/02723/HMOADS,25 Percy Street Oxford Oxfordshire OX4 3AA,4,4,26-Aug-17,25-Aug-19
17/02602/HMOADL,91 Lime Walk Oxford Oxfordshire OX3 7AD,7,7,26-Aug-17,25-Aug-19
17/02774/HMOADS,44 Howard Street Oxford Oxfordshire OX4 3BE,4,,27-Aug-17,26-Aug-19
17/03129/HMOADS,19 Charles Street Oxford Oxfordshire OX4 3AU,4,4,27-Aug-17,26-Aug-19
17/02778/HMOADL,18 Glanville Road Oxford Oxfordshire OX4 2DD,5,,29-Aug-17,28-Aug-19
17/02613/HMOADS,19 Boulter Street Oxford Oxfordshire OX4 1AX,4,,29-Aug-17,28-Aug-19
17/02781/HMOADL,17 Hawkins Street Oxford Oxfordshire OX4 1YD,4,4,28-Aug-17,29-Aug-19
17/02779/HMOADL,1 Catherine Street Oxford Oxfordshire OX4 3AQ,5,5,30-Aug-17,29-Aug-19
17/02923/HMOADL,177 Hollow Way Oxford Oxfordshire OX4 2NE,5,,31-Aug-17,30-Aug-19
17/02715/HMOADL,32 Westbury Crescent Oxford Oxfordshire OX4 3RZ,6,6,02-Sep-17,01-Sep-19
17/02716/HMOADS,22 Leopold Street Oxford Oxfordshire OX4 1PS,4,4,03-Sep-17,02-Sep-19
17/03134/HMOADS,37 Elms Drive Oxford Oxfordshire OX3 0NW,4,3,04-Sep-17,03-Sep-19
17/02849/HMOADL,2B Argyle Street Oxford Oxfordshire OX4 1SS,5,5,05-Sep-17,04-Sep-19
17/02988/HMOLIC,18 Havelock Road Oxford Oxfordshire OX4 3EP,5,,06-Sep-17,05-Sep-19
17/02675/HMOADS,22 Wolsey Road Oxford Oxfordshire OX2 7SY,4,4,09-Sep-17,08-Sep-19
17/02740/HMOLIC,7 Outram Road Oxford Oxfordshire OX4 3PE,4,4,09-Sep-17,08-Sep-19
17/03936/HMOLIC,5 Kennett Road Oxford Headington Oxfordshire OX3 7BH,6,,09-Sep-17,08-Sep-19
17/02851/HMOADL,35 Bullingdon Road Oxford Oxfordshire OX4 1QJ,4,,09-Sep-17,08-Sep-19
17/02942/HMOADL,2 Pipley Furlong Oxford Oxfordshire OX4 4JW,5,3,11-Sep-17,10-Sep-19
17/02941/HMOADL,79 Divinity Road Oxford Oxfordshire OX4 1LN,5,5,11-Sep-17,10-Sep-19
17/02940/HMOADS,19 Percy Street Oxford Oxfordshire OX4 3AA,4,,11-Sep-17,10-Sep-19
17/03412/HMOLIC,86 East Avenue Oxford Oxfordshire OX4 1XR,6,5,13-Sep-17,12-Sep-19
17/02780/HMOLIC,38 Reliance Way Oxford Oxfordshire OX4 2FU,5,,13-Sep-17,12-Sep-19
17/03530/HMOADL,36 St Luke's Road Oxford Oxfordshire OX4 3JB,5,,13-Sep-17,12-Sep-19
17/02943/HMOLIC,2 Glebe Street Oxford Oxfordshire OX4 1DQ,6,,13-Sep-17,12-Sep-19
17/02979/HMOADS,4 Rectory Road Oxford Oxfordshire OX4 1BW,3,3,14-Sep-17,13-Sep-19
17/03077/HMOLIC,6 Bullingdon Road Oxford Oxfordshire OX4 1QQ,5,,16-Sep-17,17-Sep-19
17/03079/HMOADL,20 Stratford Street Oxford Oxfordshire OX4 1SW,5,5,18-Sep-17,17-Sep-19
17/02786/HMOADL,51 Girdlestone Road Headington Oxford OX3 7NA,5,5,19-Sep-17,18-Sep-19
17/02518/HMOADL,4 Lyndworth Mews Oxford Oxfordshire OX3 9HJ,4,4,22-Sep-17,21-Sep-19
17/02556/HMOADL,16 Lyndworth Mews Oxford Oxfordshire OX3 9HJ,4,4,23-Sep-17,22-Sep-19
17/03138/HMOADL,68 Divinity Road Oxford Oxfordshire OX4 1LJ,7,,24-Sep-17,23-Sep-19
17/02945/HMOLIC,2A Gardiner Street Oxford Oxfordshire OX3 7AW,6,6,24-Sep-17,23-Sep-19
17/02948/HMOADS,51 Gardiner Street Oxford Headington Oxfordshire OX3 7AW,5,,25-Sep-17,24-Sep-19
17/02947/HMOADL,10 Gardiner Street Oxford Oxfordshire OX3 7AW,5,5,25-Sep-17,24-Sep-19
17/03082/HMOADL,9 Warwick Street Oxford Oxfordshire OX4 1SZ,4,,27-Sep-17,26-Sep-19
17/02950/HMOADL,26 Henley Street Oxford Oxfordshire OX4 1ER,3,3,29-Sep-17,28-Sep-19
17/03033/HMOADS,26 Venneit Close Oxford Oxfordshire OX1 1HZ,3,,29-Sep-17,28-Sep-19
17/03086/HMOADS,4 Minster Road Oxford Oxfordshire OX4 1LX,4,,30-Sep-17,29-Sep-19
17/02951/HMOADS,30 Garsington Road Oxford Oxfordshire OX4 2LG,4,,30-Sep-17,29-Sep-19
17/02637/HMOADL,12 Lyndworth Mews Oxford Oxfordshire OX3 9HJ,4,4,01-Oct-17,30-Sep-19
17/03004/HMOADS,82 Dene Road Oxford Oxfordshire OX3 7EG,4,4,02-Oct-17,01-Oct-19
17/03089/HMOADL,99 Valentia Road Headington Oxford OX3 7PP,6,,02-Oct-17,01-Oct-19
17/03065/HMOADL,44 Sunningwell Road Oxford Oxfordshire OX1 4SX,5,5,03-Oct-17,02-Oct-19
17/03193/HMOLIC,8 Harefields Oxford Oxfordshire OX2 8NS,5,,05-Oct-17,04-Oct-19
17/03296/HMOADL,12 Alma Place Oxford Oxfordshire OX4 1JW,5,5,06-Oct-17,05-Oct-19
17/03196/HMOADL,19 Harefields Oxford Oxfordshire OX2 8HG,5,,06-Oct-17,05-Oct-19
17/03156/HMOADL,53 Gardiner Street Oxford Oxfordshire OX3 7AW,5,5,07-Oct-17,06-Oct-19
17/03172/HMOADS,13A Horwood Close Oxford Oxfordshire OX3 7RF,4,,07-Oct-17,06-Oct-19
17/03140/HMOADL,9 Parsons Place Oxford Oxfordshire OX4 1NL,5,5,07-Oct-17,06-Oct-19
17/03297/HMOADL,188 Sandy Lane Oxford Oxfordshire OX4 6LQ,5,,07-Oct-17,06-Oct-19
17/03069/HMOADS,20 Bateman Street Oxford Headington Oxfordshire OX3 7BG,4,4,07-Oct-17,06-Oct-19
17/03074/HMOADL,69 Crescent Road Oxford Oxfordshire OX4 2NY,5,5,07-Oct-17,06-Oct-19
17/03157/HMOLIC,31 Bullingdon Road Oxford Oxfordshire OX4 1QH,6,,08-Oct-17,07-Oct-19
17/03027/HMOADS,Upper Flat A 61 Wilkins Road Oxford Oxfordshire OX4 2HZ,3,3,09-Oct-17,08-Oct-19
17/03387/HMOADL,72 The Slade Oxford Oxfordshire OX3 7DX,7,7,12-Oct-17,11-Oct-19
17/03096/HMOADL,301 Hollow Way Oxford Oxfordshire OX3 7JD,5,5,12-Oct-17,11-Oct-19
17/03368/HMOADS,30 Windmill Road Oxford Oxfordshire OX3 7BX,4,4,12-Oct-17,11-Oct-19
17/03267/HMOADL,13 Dene Road Oxford Oxfordshire OX3 7EF,5,5,14-Oct-17,13-Oct-19
17/03272/HMOADS,3 Alma Place Oxford Oxfordshire OX4 1JW,4,4,15-Oct-17,14-Oct-19
17/03223/HMOADL,32 Kennett Road Oxford Headington Oxfordshire OX3 7BJ,5,5,15-Oct-17,14-Oct-19
17/03212/HMOADS,13 Waynflete Road Oxford Oxfordshire OX3 8BQ,4,4,15-Oct-17,14-Oct-19
17/03369/HMOLIC,24 Marlborough Road Oxford Oxfordshire OX1 4LP,5,5,15-Oct-17,14-Oct-19
17/03227/HMOADS,43 Helen Road Oxford Oxfordshire OX2 0DF,4,,16-Oct-17,15-Oct-19
17/04075/HMOLIC,249 Cowley Road Oxford Oxfordshire OX4 1XG,6,,18-Oct-17,17-Oct-19
17/03278/HMOADS,35 Sunningwell Road Oxford Oxfordshire OX1 4SZ,3,,18-Oct-17,17-Oct-19
17/03533/HMOLIC,21 Leopold Street Oxford Oxfordshire OX4 1PS,4,,18-Oct-17,17-Oct-19
17/03444/HMOADS,42 Valentia Road Headington Oxford OX3 7PL,4,4,18-Oct-17,17-Oct-19
17/04076/HMOADL,Top Flat 247B Cowley Road Oxford Oxfordshire OX4 1XG,5,,18-Oct-17,17-Oct-19
17/03265/HMOADS,170 Old Road Headington Oxford Oxfordshire OX3 8SZ,4,,18-Oct-17,17-Oct-19
17/03854/HMOADS,12 Chatham Road Oxford Oxfordshire OX1 4UY,4,4,19-Oct-17,18-Oct-19
17/03228/HMOLIC,82B Cowley Road Oxford Oxfordshire OX4 1JB,5,5,20-Oct-17,19-Oct-19
17/03239/HMOADL,10 Heather Place Marston Oxford OX3 0LG,5,4,21-Oct-17,20-Oct-19
17/03281/HMOADL,Flat 1 Lysander Court 184 Cowley Road Oxford Oxfordshire OX4 1UE,5,5,21-Oct-17,20-Oct-19
17/03284/HMOADL,78 Derwent Avenue Oxford Oxfordshire OX3 0AS,5,5,22-Oct-17,21-Oct-19
17/02639/HMOADL,15 Lyndworth Mews Oxford Oxfordshire OX3 9HJ,4,4,23-Oct-17,22-Oct-19
16/05897/HMOADS,61 Juxon Street Oxford Oxfordshire OX2 6DJ,3,,23-Oct-17,22-Oct-19
17/03295/HMOADL,100 Bayswater Road Oxford Oxfordshire OX3 9NZ,5,,25-Oct-17,24-Oct-19
17/03545/HMOLIC,38 Regent Street Oxford Oxfordshire OX4 1QX,7,7,27-Oct-17,26-Oct-19
17/02195/HMOADL,45 St Clement's Street Oxford Oxfordshire OX4 1AG,4,4,26-Oct-17,27-Oct-19
17/03292/HMOADL,323 Cowley Road Oxford Oxfordshire OX4 2AQ,5,5,28-Oct-17,27-Oct-19
17/03294/HMOADS,Flat 4 Alica House 2A Randolph Street Oxford Oxfordshire OX4 1XY,3,,28-Oct-17,27-Oct-19
17/03544/HMOADS,51 Copse Lane Oxford Oxfordshire OX3 0AT,4,,29-Oct-17,28-Oct-19
17/03266/HMOADS,32 Broad Oak Oxford Oxfordshire OX3 8TS,4,4,29-Oct-17,28-Oct-19
17/03569/HMOADS,56 Littlehay Road Oxford Oxfordshire OX4 3EQ,4,,30-Oct-17,29-Oct-19
17/03564/HMOLIC,102B Cowley Road Oxford Oxfordshire OX4 1JE,5,5,31-Oct-17,30-Oct-19
17/03561/HMOLIC,174 Divinity Road Oxford Oxfordshire OX4 1LR,5,6,01-Nov-17,31-Oct-19
17/03536/HMOADS,4 Jackson Road Oxford Oxfordshire OX2 7TR,3,3,01-Nov-17,31-Oct-19
16/03433/HMOADL,75 Princes Street Oxford Oxfordshire OX4 1DE,4,4,01-Nov-17,31-Oct-19
17/03637/HMOADS,111A Magdalen Road Oxford Oxfordshire OX4 1RQ,3,,01-Nov-17,31-Oct-19
17/02381/HMOADS,21 Green Street Oxford Oxfordshire OX4 1YB,4,4,02-Nov-17,01-Nov-19
17/03314/HMOADL,3 Addison Crescent Oxford OX4 4BD,5,,02-Nov-17,01-Nov-19
17/03927/HMOLIC,57 Marston Street Oxford Oxfordshire OX4 1JU,6,,02-Nov-17,01-Nov-19
17/03959/HMOADL,14 West Street Oxford Oxfordshire OX2 0BQ,4,4,03-Nov-17,02-Nov-19
17/03645/HMOADL,15 Dene Road Oxford Oxfordshire OX3 7EF,5,5,05-Nov-17,04-Nov-19
17/03710/HMOADS,14 Bullingdon Road Oxford Oxfordshire OX4 1QQ,4,4,05-Nov-17,04-Nov-19
17/03799/HMOADL,53 Girdlestone Road Oxford Headington Oxfordshire OX3 7NA,5,6,06-Nov-17,05-Nov-19
17/02640/HMOADS,34 Ablett Close Oxford Oxfordshire OX4 1XH,4,4,07-Nov-17,06-Nov-19
17/03331/HMOLIC,233 Cowley Road Oxford Oxfordshire OX4 1XG,10,10,07-Nov-17,06-Nov-19
17/03819/HMOADS,4 Stapleton Road Oxford Oxfordshire OX3 7LU,4,4,08-Nov-17,07-Nov-19
17/03804/HMOLIC,234 Iffley Road Oxford Oxfordshire OX4 1SE,10,10,09-Nov-17,08-Nov-19
17/03703/HMOADS,46 William Street Oxford Oxfordshire OX3 0ER,3,,09-Nov-17,08-Nov-19
17/03315/HMOADL,21 Annesley Road Oxford Oxfordshire OX4 4JH,6,6,10-Nov-17,09-Nov-19
17/03866/HMOADL,86 Grays Road Oxford Oxfordshire OX3 7PY,4,4,10-Nov-17,09-Nov-19
17/03706/HMOADL,36 Girdlestone Road Oxford Headington Oxfordshire OX3 7NA,4,,10-Nov-17,09-Nov-19
17/03310/HMOADL,20 Rewley Road Oxford Oxfordshire OX1 2RD,4,,11-Nov-17,10-Nov-19
17/03868/HMOLIC,132B Old Road Headington Oxford Oxfordshire OX3 8SX,8,,11-Nov-17,10-Nov-19
17/03869/HMOLIC,132C Old Road Headington Oxford Oxfordshire OX3 8SX,8,,11-Nov-17,10-Nov-19
17/03816/HMOADS,79 Gipsy Lane Oxford Oxfordshire OX3 7PU,4,,12-Nov-17,11-Nov-19
17/03777/HMOADL,7 Bartlemas Road Oxford Oxfordshire OX4 1XU,4,4,13-Nov-17,12-Nov-19
17/03321/HMOADL,21 Earl Street Oxford Oxfordshire OX2 0JA,3,,12-Nov-17,12-Nov-19
17/03823/HMOLIC,109 Hurst Street Oxford Oxfordshire OX4 1HE,6,6,13-Nov-17,12-Nov-19
17/03778/HMOADL,52 Nelson Street Oxford Oxfordshire OX2 6BE,4,4,13-Nov-17,12-Nov-19
16/05270/HMOADL,85 Marlborough Road Oxford Oxfordshire OX1 4LX,5,,15-Nov-17,14-Nov-19
16/05348/HMOLIC,46 Chilswell Road Oxford Oxfordshire OX1 4PJ,5,5,16-Nov-17,15-Nov-19
17/03861/HMOADL,81 Windmill Road Oxford Oxfordshire OX3 7BT,4,4,16-Nov-17,15-Nov-19
17/03229/HMOADS,2 Chestnut Avenue Oxford Oxfordshire OX3 9JH,3,3,16-Oct-17,16-Nov-19
17/04016/HMOADL,34 Green Ridges Oxford Oxfordshire OX3 8PL,4,3,17-Nov-17,16-Nov-19
17/03824/HMOADL,195B Cowley Road Oxford Oxfordshire OX4 1XA,5,5,17-Nov-17,16-Nov-19
17/03231/HMOADL,16 Harcourt Terrace Oxford Oxfordshire OX3 7QF,6,6,16-Oct-17,17-Nov-19
17/03782/HMOADS,41 Stockmore Street Oxford Oxfordshire OX4 1JT,4,,18-Nov-17,17-Nov-19
17/03912/HMOADL,19 Cosin Close Oxford Oxfordshire OX4 1GD,6,6,18-Nov-17,17-Nov-19
17/03921/HMOLIC,27 Lamarsh Road Oxford Oxfordshire OX2 0LD,5,,19-Nov-17,18-Nov-19
17/03541/HMOADL,2 St Peter's Road Oxford Oxfordshire OX2 8AU,5,,21-Nov-17,20-Nov-19
17/03916/HMOADS,57 Gipsy Lane Oxford Headington Oxfordshire OX3 7PU,4,5,22-Nov-17,21-Nov-19
17/03965/HMOADL,22 Donnington Bridge Road Oxford Oxfordshire OX4 4AX,6,6,22-Nov-17,21-Nov-19
17/04023/HMOADS,21 Kennedy Close Oxford Oxfordshire OX4 2UH,7,,22-Nov-17,21-Nov-19
17/04115/HMOADL,106 Percy Street Oxford Oxfordshire OX4 3AD,4,4,25-Nov-17,24-Nov-19
17/04060/HMOADL,25 Glebelands Oxford Oxfordshire OX3 7EN,5,,25-Nov-17,24-Nov-19
17/03957/HMOADL,135 Fern Hill Road Oxford Oxfordshire OX4 2JR,5,,26-Nov-17,25-Nov-19
17/04121/HMOADS,4 Phipps Road Oxford Oxfordshire OX4 3HH,4,,28-Nov-17,27-Nov-19
17/03961/HMOADS,24 Stockmore Street Oxford Oxfordshire OX4 1JT,3,,28-Nov-17,27-Nov-19
17/01307/HMOADS,4 Warren Crescent Oxford Oxfordshire OX3 7NG,4,,29-Nov-17,28-Nov-19
17/01679/HMOADL,23A Hart Street Oxford Oxfordshire OX2 6BN,4,4,29-Nov-17,28-Nov-19
17/03963/HMOADS,84A Walton Street Oxford Oxfordshire OX2 6EA,3,,29-Nov-17,28-Nov-19
17/04092/HMOADL,73 White Road Oxford Oxfordshire OX4 2JL,6,6,29-Nov-17,28-Nov-19
17/03325/HMOADS,59 Edgeway Road Oxford Oxfordshire OX3 0HF,4,4,30-Nov-17,29-Nov-19
17/03085/HMOADS,5A Hurst Street Oxford Oxfordshire OX4 1EZ,4,4,29-Sep-17,29-Nov-19
17/01764/HMOADS,33 Pipkin Way Oxford Oxfordshire OX4 4AR,4,4,10-Jul-17,29-Nov-19
17/01641/HMOADS,42 Donnington Bridge Road Oxford Oxfordshire OX4 4AX,4,4,30-Jun-17,29-Nov-19
16/05196/HMOLIC,15 Hawkins Street Oxford Oxfordshire OX4 1YD,6,6,01-Dec-17,30-Nov-19
17/03968/HMOADS,102A Walton Street Oxford Oxfordshire OX2 6EB,5,,01-Dec-17,30-Nov-19
17/04161/HMOADS,54 Rymers Lane Oxford Oxfordshire OX4 3LB,4,4,01-Dec-17,30-Nov-19
